complete_combos_before,singleton_halves_before,prob_0_trump_after,prob_1_trump_after,prob_2_trumps_after,prob_3_trumps_after,prob_4_trumps_after
0,0,0.82138730834383,0.17262737262737263,0.005967945098379881,1.7373930417408677e-05,0.0
0,1,0.6565782044042913,0.3178908048473266,0.025253007861703515,0.00027798288667853883,0.0
0,2,0.5218954958085393,0.4045432828041523,0.0713851366025279,0.002171741302176085,4.343482604352169e-06
0,3,0.4124657950744907,0.447126786257221,0.12997871693523866,0.010337488598358164,9.121313469139557e-05
0,4,0.3240802675585284,0.45752508361204014,0.19063545150501673,0.026755852842809364,0.001003344481605351
1,0,0.0,0.8645441515006732,0.13245450201971942,0.002997002997002997,4.343482604352169e-06
1,1,0.0,0.6932198236546063,0.2905746427485558,0.01611432046214655,9.121313469139557e-05
1,2,0.0,0.5528428093645485,0.3876254180602007,0.05852842809364548,0.001003344481605351
1,3,0.0,0.43846153846153846,0.43846153846153846,0.11538461538461539,0.007692307692307693
2,0,0.0,0.0,0.908695652173913,0.0903010033444816,0.001003344481605351
2,1,0.0,0.0,0.7307692307692308,0.26153846153846155,0.007692307692307693
2,2,0.0,0.0,0.5846153846153846,0.36923076923076925,0.046153846153846156
3,0,0.0,0.0,0.0,0.9538461538461539,0.046153846153846156
3,1,0.0,0.0,0.0,0.7692307692307693,0.23076923076923078
4,0,0.0,0.0,0.0,0.0,1.0
